COMMUNE,LIEU_DIT,DEPARTEMENT,LONG_L93,LAT_L93,LAT_WGS,LONG_WGS,Département,Ancienne Région,Nouvelle Région,DPT_str
VILLIERS-EN-PLAINE,La Dent,79,426556.0,6600266.0,46.446829348464995,-0.563323062623186,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
LE PUY-NOTRE-DAME,Cave du Haut Buard,49,455090.0,6673628.0,47.11781405389946,-0.2310189223687436,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
CHIRÉ-EN-MONTREUIL,Grande cavité Est - Chez Michel,86,480286.94,6619716.19,46.64153643542101,0.12695031505258286,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
LA ROCHEBEAUCOURT-ET-ARGENTINE,Argentine - Carrière Nord Ouest (grande),24,495202.12,6489332.17,45.47284144106557,0.37841873627482925,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
SAINT-NECTAIRE,Cavité route de Sapchat,63,699425.0,6497843.28,45.580097088372135,2.992626644433143,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
CHÂTEAUNEUF-SUR-CHARENTE,Champs Gaillards,16,459423.0,6504823.0,45.60059803510011,-0.08690072339472986,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
CHÂTEAUNEUF-SUR-CHARENTE,Carrière de Chez Delaisse,16,459709.0,6504923.0,45.601598420298515,-0.08328479782713533,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
GRAVES-SAINT-AMANT,Grotte d'Armelle,16,457838.0,6507609.0,45.625106283134706,-0.1086239137492092,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
LA CHAPELLE-FAUCHER,Carrière des Pelades,24,525171.23,6476239.38,45.36329680914496,0.7665646405276688,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
LA TOUR-BLANCHE-CERCLES,Carrière de Jovelle n°2,24,498998.0,6476984.0,45.362834565463594,0.43211304761874686,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
VILLARS,Carrière de Cirier Bossu n°3,24,523048.52,6480935.36,45.40502065043793,0.7377435221478837,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
VOLVIC,Grande Carrière,63,701755.08,6530370.42,45.8729973438451,3.022625302300542,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
CHALONNES-SUR-LOIRE,Tunnel du Roc,49,419510.0,6700488.0,47.345305361139644,-0.7164340702476613,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
ANGLES-SUR-L'ANGLIN,Grotte de Boisdichon,86,538552.38,6622926.72,46.686990998542655,0.8872990140316189,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
BERRIE,Château de Berrie ,86,467125.95,6667514.61,47.06714011093408,-0.06926332817978526,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
COLY-SAINT-AMAND,Ancien tunnel de la Peytivie,24,559663.641,6439936.288,45.044418095089284,1.217503092170894,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
ROIFFÉ,Les Rochereaux - cave,86,476066.16,6676266.86,47.14894990760881,0.04413980624205591,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
SOYAUX,Aven des Cavernes,16,484174.0,6507506.0,45.63300633369473,0.22920228688740688,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
TERRASSON-LAVILLEDIEU,Grotte du Rajol,24,566148.07,6448358.38,45.121519992758344,1.2975335867491806,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
FUMEL,Carrière de Pech de Treil,47,541012.18,6381713.11,44.51635682054088,0.9994283595588815,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
LUCHÉ-PRINGÉ,Les Piliers,72,483433.0,6736946.0,47.697255940075586,0.11201158582817773,72,Pays de la Loire,Pays de la Loire,Sarthe
SAINT-CYPRIEN,Carrière de Malemort Sud,24,544074.93,6420535.44,44.866450888449336,1.0257399609952305,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
SAINT-CYPRIEN,Carrière de Malemort Ouest,24,543996.36,6420679.48,44.867729641461786,1.0246999408741553,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
SAUVETERRE-LA-LEMANCE,Carrière de la Frézière,47,542151.54,6390186.44,44.592871550351376,1.0110740107720053,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
CIZAY-LA-MADELEINE,Caves d'Igné,49,457606.0,6683594.0,47.2083849231618,-0.203193302484133,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
LES EYZIES,Carrière des Combarelles,24,545316.75,6429043.88,44.94331138706798,1.038781711287857,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
FORGÈS,Mine de Grand Champ,19,610868.0,6450586.0,45.14880675858929,1.8658228709289644,19,Limousin,Nouvelle-Aquitaine,Correze
