COMMUNE,LIEU_DIT,DEPARTEMENT,LONG_L93,LAT_L93,LAT_WGS,LONG_WGS,Département,Ancienne Région,Nouvelle Région,DPT_str
ALVIGNAC,Réveillon,46,594475.0,6414911.0,44.82533103051582,1.6649383936561328,46,Midi-Pyrénées,Occitanie,Lot
SAINT-JEAN-DE-LAUR,Grotte de la Calotte,46,607893.0,6373363.0,44.453241835358014,1.8423771700855456,46,Midi-Pyrénées,Occitanie,Lot
THÉMINES,Pech de Lavayssière,46,607100.0,6404480.0,44.73323658552755,1.8266008151962403,46,Midi-Pyrénées,Occitanie,Lot
JALEYRAC,Tunnel des Plaines,15,650478.474,6465102.287,45.283495100781366,2.3683462873522068,15,Auvergne,Auvergne-Rhône-Alpes,Cantal
LA COURONNE,La Carrière du Pont Neuf 1,16,477003.0,6504348.0,45.602284880736825,0.13868800076175505,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
ANGOULÊME,Carrière de Chez Néra,16,480711.0,6507159.0,45.6287808767074,0.1849400309306841,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
DIRAC,Carrière du Lyon,16,481163.0,6506873.0,45.62635205799733,0.1908681106211763,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
MIGNÉ-AUXANCES,Les Lourdines coteau n 3,86,495599.97,6619518.41,46.644597766607994,0.3271180513627945,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
CHÂTEAUNEUF-SUR-CHARENTE,Aux Rocs,16,459469.0,6504857.0,45.60092015113724,-0.08632813052894128,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SIREUIL,Les Amelins de la Vallade,16,467128.0,6507941.0,45.63132316752499,0.010353962128835291,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
THURÉ,Bois de Servollet,86,507724.36,6641571.23,46.84664630769087,0.4763408462406586,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
MIGNÉ-AUXANCES,Les Lourdines Pierre levee n 2,86,495149.17,6619833.72,46.64729773563115,0.32108775081559326,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
COMPREIGNAC,AMB - Margnac bas tunnel - Souterrains inférieurs de Margnac (tunnel),87,569922.0,6545786.0,45.99934825194299,1.3191455348628596,87,Limousin,Nouvelle-Aquitaine,Haute-Vienne
SAINT-SORNIN,Carrière de l'Enfer,17,391425.0,6525391.0,45.75826964866496,-0.9713568523284476,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
AVY,Bois Perou,17,424023.0,6501533.0,45.55762863484202,-0.5386666724089929,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
CHAMPAGNE,les Carrières (W),17,396257.0,6535517.0,45.851511768028466,-0.9157289308764354,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-GENÈS-DE-CASTILLON,Piscan,33,459661.2,6426667.4,44.89748036457164,-0.04519248348458555,33,Aquitaine,Nouvelle-Aquitaine,Gironde
SAINT-ROMAIN-DE-BENET,Les Pierrieres (NW),17,397622.0,6517085.0,45.686343236593586,-0.8864745722529883,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
TABANAC,Benot (carrière Delaire),33,429700.0,6408754.0,44.72530584684319,-0.4145564713177584,33,Aquitaine,Nouvelle-Aquitaine,Gironde
GARAT,Carrière de Sainte-Catherine,16,485614.0,6506762.0,45.62676423196489,0.24800690046914295,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
LANGEAIS,62 rue de Nantes,37,503331.0,6694307.0,47.31989825588129,0.39589922780468706,37,Centre,Centre-Val de Loire,Indre-et-Loire
MONTSOREAU,Cave de la Bonnardière,49,477785.0,6682916.0,47.20934654002651,0.06354465106762042,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
VŒUIL-ET-GIGET,Carrière Jolival 2,16,477435.0,6503749.0,45.59703534259795,0.14450404955456875,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SAINT-PIERRE-DE-MAILLÉ,Grotte de la Guittière,86,534450.41,6619888.17,46.6586409495489,0.8347373528983894,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
BLANQUEFORT-SUR-BRIOLANCE,Grotte des Jouanets,47,535736.22,6393256.89,44.61901981393893,0.9292615109254044,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
CLAIRAC,Tunnel ferroviaire Moncaubet,47,489550.26,6367049.6,44.37079751970295,0.358469210612877,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
NICOLE,Carrière de Pech de Berre,47,488160.72,6362134.22,44.32615683846803,0.34311622247176027,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
HAUTEFORT,Château de Hautefort,24,554560.0,6463972.0,45.25972229559019,1.1455333891012291,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
SAINT-GERMAIN-DES-PRÉS,Tunnel d'Autrevialle,24,545642.246,6474868.797,45.35586734547477,1.0284028003768924,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
BREUIL-BARRET,Coussaie,85,418925.0,6622357.0,46.64238843809498,-0.6760155650639916,85,Pays de la Loire,Pays de la Loire,Vendée
GENNES-VAL-DE-LOIRE,Cave 28 route de Louerre,49,455071.0,6697959.0,47.336666565152846,-0.24445095988741908,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
SAINT-MARY-LE-PLAIN,Lacoste 29,15,709627.0,6451910.0,45.166424783286104,3.1225350698043237,15,Auvergne,Auvergne-Rhône-Alpes,Cantal
SOULAC-SUR-MER,Blockhaus,33,381059.0,6500259.0,45.52749403611205,-1.0878022560070413,33,Aquitaine,Nouvelle-Aquitaine,Gironde
CHEFFOIS,le rocher cheffois,85,359778.0,6601151.0,46.42435620044615,-1.4325241627480625,85,Pays de la Loire,Pays de la Loire,Vendée
SOURSAC,Barrage de l'Aigle,19,639164.0,6460742.0,45.24332753735348,2.224583209351108,19,Limousin,Nouvelle-Aquitaine,Correze
DAMPNIAT,Centrale hydroélectrique de Claredent,19,591695.0,6453429.0,45.17165536635231,1.6212659554361863,19,Limousin,Nouvelle-Aquitaine,Correze
LECUMBERRY,Mikelauenziloa,64,363296.0,6230758.0,43.09675202878171,-1.1343629932963772,64,Aquitaine,Nouvelle-Aquitaine,Pyrénées-Atlantiques
SAINT-PIERRE-DU-LOROUËR,Le petit Brive,72,515245.0,6746767.0,47.795307925549764,0.5318426741374619,72,Pays de la Loire,Pays de la Loire,Sarthe
MONCEAUX-SUR-DORDOGNE,Le Chassang,19,613643.0,6443479.0,45.08517465811538,1.902386258151461,19,Limousin,Nouvelle-Aquitaine,Correze
SAUMUR,Caves de la Butte de la Folie,49,471130.0,6686724.0,47.241342714444855,-0.026240520161720363,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
LA COURONNE,La Carrière du Pont Neuf 2,16,477040.0,6504250.0,45.601415061288364,0.13920787596930626,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SIREUIL,Les Pierrières,16,468008.0,6507714.0,45.62957991791373,0.021750669187519587,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SIREUIL,Le Grand Plantier,16,468235.0,6507890.0,45.63124067937502,0.02457697482930421,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
ROCHE-LE-PEYROUX,Val Beneyte - Souterrain sous l'observatoire,19,650857.0,6480090.0,45.418474295295894,2.371653020016026,19,Limousin,Nouvelle-Aquitaine,Correze
LA ROCHEBEAUCOURT-ET-ARGENTINE,Carrière de Font-Babou,24,497002.0,6489330.0,45.47335753809136,0.4014428893881704,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
BRANTÔME-EN-PÉRIGORD,Carrière des Petites maisons (Dubesset),24,515742.45,6476238.96,45.360827243248124,0.6461817727162205,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
BRESSUIRE,Château de Bressuire,79,433370.0,6643810.0,46.84126074692319,-0.49977833553124884,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
LE PUY-NOTRE-DAME,Champignonnière de la Butte Faloux,49,454304.0,6674457.0,47.124981332104504,-0.24182549811438186,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
PUYMOYEN,La Boîte,16,478760.54,6506462.0,45.62187979541847,0.16024469304975164,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
GARAT,Carrière Sodatec,16,486234.0,6505394.0,45.6146473687842,0.25656906289731457,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
TURQUANT,Champignonnière 10 rue de la Bâte,49,474960.0,6684222.0,47.22014416214806,0.025599042833564532,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
TOURTENAY,La Mazoire Troglodyte et Cie,79,463286.0,6664298.0,47.03684826554118,-0.11814814216373273,79,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
ORCHES,Le bourg Joly - champignonnière,86,498156.28,6645395.13,46.8782351303923,0.3491655084561796,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
NÉRAC,Caves de Laubenheimer,47,486671.15,6340931.92,44.13497099509788,0.3334249608539888,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
SAUMUR,Caves du chemin des Vaux - Le Ménach,49,470990.0,6686729.0,47.24133938790841,-0.028092394696581226,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
SAINT-ROBERT,Grotte de Saint-Robert,19,566532.18,6463375.52,45.256780036390616,1.298301955851958,19,Limousin,Nouvelle-Aquitaine,Correze
AINHOA,Grotte de la carrière d'Ainhoa,64,335519.0,6255234.0,43.3029438576189,-1.4918078805418618,64,Aquitaine,Nouvelle-Aquitaine,Pyrénées-Atlantiques
POMPIGNAC,Le Bosquet,33,429400.5,6423159.1,44.85475881454991,-0.4262260870266126,33,Aquitaine,Nouvelle-Aquitaine,Gironde
RAUZAN,La Salle,33,451329.0,6415791.0,44.79669196008418,-0.14516880034505913,33,Aquitaine,Nouvelle-Aquitaine,Gironde
SAINTES,La Motte à l'Œuf,17,414549.0,6521893.0,45.736881632732505,-0.6721056204580982,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINT-GERMAIN-DU-PUCH,Salles,33,434614.5,6422206.3,44.84820487584057,-0.3597758810632642,33,Aquitaine,Nouvelle-Aquitaine,Gironde
TUFFALUN,Caves d'Avort,49,452722.0,6695388.0,47.312668751995936,-0.27412015153229496,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
CAMARSAC,Carrière du bourg,33,434352.0,6420177.0,44.82985045057632,-0.3620019263362975,33,Aquitaine,Nouvelle-Aquitaine,Gironde
CAMBES,Carrière de Bastarade,33,426560.1,6409829.1,44.73374656904093,-0.4547646855162795,33,Aquitaine,Nouvelle-Aquitaine,Gironde
CANDES-SAINT-MARTIN,Petit Baillargeau à Candes,37,477213.0,6681993.0,47.20085108147494,0.056447428281166154,37,Centre,Centre-Val de Loire,Indre-et-Loire
CROIGNON,Saute jau,33,435224.0,6419838.0,44.827134707076205,-0.3507973368268569,33,Aquitaine,Nouvelle-Aquitaine,Gironde
FRONTENAC,Milha,33,450047.22,6408231.74,44.72822914876876,-0.1575422309736947,33,Aquitaine,Nouvelle-Aquitaine,Gironde
GRÉZILLAC,Centre technique,33,445723.0,6418082.0,44.81526875309378,-0.2171753765354364,33,Aquitaine,Nouvelle-Aquitaine,Gironde
JONZAC,Cluzelet,17,432280.0,6488427.0,45.443005908686395,-0.4256419297087784,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
PONS,Caves de la Soute,17,421326.0,6505428.0,45.59157291015489,-0.5754613883858266,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
PORTE-DE-BENAUGE,La Boye,33,440238.0,6401152.0,44.66094666109855,-0.27760780048344846,33,Aquitaine,Nouvelle-Aquitaine,Gironde
SAINT-GRÉGOIRE-D'ARDENNES,Carrières de la Motte à Morin,17,427034.0,6495930.0,45.50843281970606,-0.4969298596049477,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
LERNÉ,Maulévrier cave sous château,37,481882.0,6674586.0,47.135761413390334,0.12164665803870099,37,Centre,Centre-Val de Loire,Indre-et-Loire
BLARS,Cuzoul des Brasconnies,46,600342.0,6387429.0,44.578813692103964,1.744679509653701,46,Midi-Pyrénées,Occitanie,Lot
TERNAY,Chateau de Ternay,86,469122.1537,6664326.172,47.039150575823065,-0.04136185029633051,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
DOMME,Grotte du Redoulet de Caudon (Mortureux),24,562192.0,6415206.0,44.82232098647478,1.2565411181477395,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
ORCHES,La Roche Tardille,86,498128.12,6643125.77,46.85780537958727,0.3497958802824732,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
SAINT-SEURIN-DE-CADOURNE,Maillet,33,402006.0,6471983.0,45.28261866945424,-0.8023224577864264,33,Aquitaine,Nouvelle-Aquitaine,Gironde
LE VERDON-SUR-MER,Bunkers PAB,33,383630.0,6501681.0,45.541475005299645,-1.0558437324184513,33,Aquitaine,Nouvelle-Aquitaine,Gironde
ALLANCHE,Mine de Conche,15,701874.0,6461803.0,45.255568201218395,3.0238908978710826,15,Auvergne,Auvergne-Rhône-Alpes,Cantal
GOULLES,Gorges de la Cère MP12,19,629997.0,6432185.0,44.98534480851127,2.11184361044331,19,Limousin,Nouvelle-Aquitaine,Correze
NEUIL,La Milcendière,37,511581.0,6677119.0,47.1676362083321,0.5122315926821711,37,Centre,Centre-Val de Loire,Indre-et-Loire
SAINT-JULIEN-LE-PÈLERIN,Gorges de la Cère MF17,19,625728.0,6431572.0,44.97938043078626,2.057778873100615,19,Limousin,Nouvelle-Aquitaine,Correze
LE PUY-NOTRE-DAME,Champignonnière rue de la Providence,49,454856.0,6674939.0,47.12952088247428,-0.2348107017233445,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
SARE,Grottes de Sare,64,328801.0,6251753.0,43.26821539781657,-1.5719350396982883,64,Aquitaine,Nouvelle-Aquitaine,Pyrénées-Atlantiques
MARMINIAC,Les Limoges,46,554733.0,6396741.0,44.65460288588399,1.1676277384405005,46,Midi-Pyrénées,Occitanie,Lot
MONTCABRIER,Grotte de Croze del Taï,46,547095.0,6385563.0,44.552365038835674,1.0747577253215377,46,Midi-Pyrénées,Occitanie,Lot
FLOIRAC,Igue du Caillon,46,595266.0,6424911.0,44.91547225587532,1.6728176786488638,46,Midi-Pyrénées,Occitanie,Lot
OMEX,Grotte du Roy,65,449353.0,6226508.0,43.093897651849026,-0.07689643947344639,65,Midi-Pyrénées,Occitanie,Hautes-Pyrénées
MONTREUIL-BELLAY,Fermette des Nobis,49,460704.0,6675050.0,47.13264999616203,-0.1577849005167007,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
RÉAUP-LISSE,Moulin de Sainte-Catherine,47,482343.0,6339859.0,44.12399123257643,0.2798280049952748,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
RANTON,Cave Grands Cailloux,86,470038.74,6660049.43,47.00099109752897,-0.027140758258694202,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
FONTEVRAUD-L'ABBAYE,Cave derrière mur dans cave Mr Baillargeau,49,477155.0,6682001.0,47.20090359041995,0.05567787923349248,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
MIGNÉ-AUXANCES,Carrières de Chateau Gaillard,86,494691.8,6619549.22,46.64459766106681,0.31523760354143365,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
TAURIAC,La Lustre 2,33,423298.0,6443772.0,45.037755798893606,-0.5150034024841824,33,Aquitaine,Nouvelle-Aquitaine,Gironde
ÉPIEDS,Grand Fond à BREZE/EPIEDS,49,470260.0,6678302.0,47.165276945453414,-0.03345685880682623,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
MIERS,Barrières,46,596690.0,6420444.0,44.875473302460385,1.6917969063669493,46,Midi-Pyrénées,Occitanie,Lot
SAINT-GEORGES-ANTIGNAC,Antignac,17,429571.0,6494762.0,45.49893216535516,-0.46381462420275704,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
LA TOUR-BLANCHE-CERCLES,Carrière de Fongrenon 1,24,500086.0,6478226.0,45.374329974294184,0.4454898587407339,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
MONTSOREAU,Vallée des Bazilles - Vieille champignonnière,49,477877.0,6683009.0,47.21021400238073,0.06471360040224836,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
COURCÔME,Au Limousin,16,478363.035,6546837.0,45.98508586393703,0.1363606755108544,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
MAGNAC-SUR-TOUVRE,Bel-Air,16,485527.0,6508295.0,45.640532899750006,0.24620501278992554,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
MIREBEAU,Carrière du Bois de Rochefort,86,487497.7959,6636260.666,46.79273520514436,0.21353156121690622,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
MIGNÉ-AUXANCES,Les Lourdines coteau n 1,86,495365.71,6619516.35,46.6445078002112,0.3240579550228382,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
HAUTEFORT,Souterrain de la Tour de Bretagne,24,554486.0,6463964.0,45.25963462968494,1.1445925784624544,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
PINSAC,Roc Coulon,46,585724.0,6419386.0,44.864226880280555,1.5532106982280525,46,Midi-Pyrénées,Occitanie,Lot
BROMONT-LAMOTHE,Galerie de Pranal,63,687316.693,6529328.349,45.86349761359905,2.8365234400030976,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
FAUX,Carrière de la Barde Sud (grande),24,516072.0,6413622.0,44.797365755680765,0.6739457418603624,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
MARCILHAC-SUR-CÉLÉ,Les Poteries,46,602109.0,6383196.0,44.54096188775285,1.767765504527785,46,Midi-Pyrénées,Occitanie,Lot
CROIGNON,Carrière Rougier Nord,33,434830.0,6420462.0,44.83259708338749,-0.3561129291285058,33,Aquitaine,Nouvelle-Aquitaine,Gironde
LA TOUR-BLANCHE-CERCLES,Carrière de Garennes n°3,24,499574.0,6477767.0,45.37004977126465,0.43914222759489957,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
ROIFFÉ,Les Closures - Champignonnière,86,477055.0,6676513.0,47.15149678849383,0.057059057015305475,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
USSEAU,Les Rabottes,86,508116.2,6643528.87,46.86437612734534,0.4806608217916494,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
LA COURONNE,Vignes à Monsieur Mallat,16,477567.0,6504958.0,45.60795796843589,0.14563565913037121,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SAINT-SULPICE-D'ARNOULT,Fief de Foye (Cox),17,404579.96,6533909.83,45.84072049311865,-0.8076031019598342,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
SAINTES,Quai des Roches,17,417114.0,6521900.0,45.73801353532544,-0.6391599483731782,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
NOAILLES,Gouffre du Briant,19,582574.0,6444166.0,45.08677153788468,1.5074099882778649,19,Limousin,Nouvelle-Aquitaine,Correze
FONTEVRAUD-L'ABBAYE,Cave Charissou,49,476836.0,6680079.0,47.18350516057112,0.05241453052002523,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
SOYAUX,Landes du Bressour,16,482178.0,6506514.0,45.623445696858454,0.20404949423576973,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
PRIGNAC-ET-MARCAMPS,Carrière de Cantegrit/Matard,33,427829.1,6440581.1,45.01085372122242,-0.45574516517735253,33,Aquitaine,Nouvelle-Aquitaine,Gironde
URITZ,Cueva de Espoz,Navarra/Nafarroa,339480.0,6209614.0,42.89528818640005,-1.4117173420471387,,,,
SOYAUX,Pelouses du Lion de Saint-Marc,16,480825.554,6507786.197,45.63446183338525,0.18612254283038415,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
MONTBRON,Montgaudier,16,503054.0,6510593.0,45.66649382512371,0.470142798396916,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SOUSCEYRAC-EN-QUERCY,Gorges de la Cère LF8,46,620253.5,6431061.19,44.974171814359494,1.9884192351706493,46,Midi-Pyrénées,Occitanie,Lot
SAINT-CHRISTOPHE-DES-BARDES,La Pelleterie,33,453062.00,6426086.00,44.88992765613303,-0.12842907246643148,33,Aquitaine,Nouvelle-Aquitaine,Gironde
BACH,Cuzoul de Frayssinet,46,596594.0,6360598.0,44.33676768120213,1.7030277386087744,46,Midi-Pyrénées,Occitanie,Lot
PERPEZAC-LE-BLANC,le Cluzel - Grotte de Perpezac,19,568521.0,6459618.0,45.22333694511369,1.3246677921146306,19,Limousin,Nouvelle-Aquitaine,Correze
RÉAUP-LISSE,Grotte de la Pintenète,47,476879.0,6338960.0,44.11418976901688,0.21199415654413845,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
CROIGNON,Carrière Rougier Sud,33,434745.0,6420395.0,44.831961886480435,-0.3571514013717456,33,Aquitaine,Nouvelle-Aquitaine,Gironde
CASTELJALOUX,Grotte aux fées (Casteljaloux),47,467045.0,6358634.0,44.28795917078724,0.08013643784240039,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
CAMBES,Carrière de Pinte,33,427108.0,6410380.0,44.73891712133783,-0.4481548236265895,33,Aquitaine,Nouvelle-Aquitaine,Gironde
BUZET,Château de Buzet,47,484016.18,6353755.22,44.24951212657377,0.2947747263372682,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
VILLANUA,Cueva de las Güixas,Aragon,410375.0,6182575.0,42.68451035721543,-0.5306860538705088,Aragon,Espagne,Espagne,Espagne
MONTAIGUT-LE-BLANC,Caves ouest Montaigut Chemin des caves,63,706772.42,6498479.95,45.5857968504101,3.086853224734823,63,Auvergne,Auvergne-Rhône-Alpes,Puy-de-Dôme
CAMBLANES-ET-MEYNAC,Château Latour,33,424279.0,6414345.0,44.773461855203735,-0.4860651854451497,33,Aquitaine,Nouvelle-Aquitaine,Gironde
ARUDY,Grotte d'Espalungue,64,419672.0,6227829.0,43.09475323774803,-0.441524480932065,64,Aquitaine,Nouvelle-Aquitaine,Pyrénées-Atlantiques
BOUISSE,Mines de la Ferronière,11,650421.0,6208505.0,42.974195029393684,2.3927814487238996,11,Languedoc-Roussillon,Occitanie,Aude
MALGRAT-DE-MAR,Mines de Can Palomeres,Catalunya,676984.3,6060979.13,41.6496840115536,2.7244169455953116,Catalunya,Espagne,Espagne,Espagne
TOURTOUSE,Grotte de Tourtouse,09,547574.0,6223126.0,43.0911664274615,1.1292332474879163,09,Midi-Pyrénées,Occitanie,Ariège
MOULIS,Grotte du Sendé,09,546044.0,6208445.0,42.958840831461444,1.1147633387720037,09,Midi-Pyrénées,Occitanie,Ariège
FRANCILLON-SUR-ROUBION,Grotte de Baume Sourde,26,862420.49,6394762.3,44.633000579388735,5.048004220207584,26,Rhône-Alpes,Auvergne-Rhône-Alpes,Drôme
BEAUMONTOIS EN PÉRIGORD,Carrière de Luzier,24,522384.9,6410495.7,44.770875928307376,0.7548621755320077,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
BELLEVIGNE-LES-CHÂTEAUX,La Grézille Saumoussay,49,466859.0,6682840.0,47.20491596518126,-0.08065453977157352,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
COTEAUX-SUR-LOIRE,Cave Bellevue 1,37,495038.0,6690656.0,47.28453642871372,0.2878357984799455,37,Centre,Centre-Val de Loire,Indre-et-Loire
DISTRÉ,2 rue des Clérins,49,463698.0,6686323.0,47.23513032237464,-0.12419976691537996,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
EYRAUD-CREMPSE-MAURENS,Carrière de Fon Barade Ouest,24,500543.0,6428829.0,44.92991841907889,0.4715300998954387,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
GAVAUDUN,Grotte de Ganos,47,531994.05,6388072.61,44.57147162788512,0.8838604213428817,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
GENNES-VAL-DE-LOIRE,42 rue des Bords de Loire,49,462229.0,6694132.0,47.304850401566824,-0.14771475643538395,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
LA COURONNE,La Carrière du Pont Neuf 3,16,477115.0,6503618.0,45.59575223519741,0.1404628931730667,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
LA ROCHEBEAUCOURT-ET-ARGENTINE,Argentine - Carrière chez Perrauque Nord Ouest (grande),24,495315.66,6489291.35,45.47250800209072,0.3798884068164785,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
LA TOUR-BLANCHE-CERCLES,Carrière de Jovelle n°6 (Jovelle Nord),24,498905.0,6476932.0,45.36233934559744,0.43094737689350376,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
LES BOIS-D'ANJOU,Champignonnière Les Pâtis,49,460181.0,6714701.0,47.48912488853116,-0.18577805979029274,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
LES EYZIES,Grotte du Bil,24,542360.0,6428852.0,44.94091687910561,1.001370705784781,24,Aquitaine,Nouvelle-Aquitaine,Dordogne
LES SALLES-LAVAUGUYON,Chez Rambaud - Cave de maison de maître,87,519683.0,6517579.0,45.73396901864943,0.6809865103165282,87,Limousin,Nouvelle-Aquitaine,Haute-Vienne
MONTSOREAU,Troglo cave aux bateaux,49,477839.0,6682975.0,47.20989540612857,0.06422860176068888,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
NÉRAC,Tunnel de Lamothe,47,486495.69,6339136.09,44.11876343887649,0.33199158578083227,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
NEUILLÉ,Caves de la Cybellerie,49,472090.0,6696827.0,47.33255852421165,-0.01866369555167502,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
PUYMOYEN,Carrière du Château du Diable,16,478907.0,6505804.0,45.616005872929364,0.1624263633345827,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
RÉAUMUR,manoir des sciences,85,409798.0,6631338.0,46.71927499477973,-0.8008505619516207,85,Pays de la Loire,Pays de la Loire,Vendée
RÉAUP-LISSE,"Ruisseau souterrain ""Sabaté"" (grotte de Pouyalats)",47,477847.78,6335871.44,44.08671575524321,0.22544505867167094,47,Aquitaine,Nouvelle-Aquitaine,Lot-et-Garonne
SAINTES,Cours Bouvard,17,416342.0,6522459.0,45.74272117591403,-0.6494092722529969,17,Poitou-Charentes,Nouvelle-Aquitaine,Charente-Maritime
NEUILLÉ,La Seignère,49,471299.0,6696548.0,47.32977610854475,-0.028988534950406326,49,Pays de la Loire,Pays de la Loire,Maine-et-Loire
SENILLÉ-SAINT-SAUVEUR,Les Pieds Grimaud - CABOURUMEA,86,518252.2,6633301.5,46.77516669314116,0.6177083417783974,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
SERS,Grotte de Peupla,16,489874.0,6502219.0,45.58720276090659,0.3046378558819024,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SIREUIL,Carrière des Courilles,16,467245.74,6507879.27,45.63080782123421,0.011894058587944668,16,Poitou-Charentes,Nouvelle-Aquitaine,Charente
SOURSAC,Galerie du Pont de Lamirande,19,640719.0,6464802.0,45.280019109967455,2.2439065435856294,19,Limousin,Nouvelle-Aquitaine,Correze
TERNAY,Montjaugin,86,468187.64,6664790.21,47.043000671060284,-0.053896281182230894,86,Poitou-Charentes,Nouvelle-Aquitaine,Vienne
